run_id,method,stage,seed,macro_f1,micro_f1,avg_map,variant_recall,auroc,fpr95,tail_recall,cka,epoch,eval_avg_map,eval_loss,eval_macro_f1,eval_micro_f1,eval_runtime,eval_samples_per_second,eval_steps_per_second
legacy,ours,0,42,0.900780,0.901101,0.826294,N/A,N/A,N/A,N/A,N/A,2.000000,0.826294,0.494292,0.900780,0.901101,135.389300,68.713000,4.299000
legacy,ours,0,42,0.900780,0.901101,0.843149,N/A,N/A,N/A,N/A,N/A,5.000000,0.843149,0.703773,0.900780,0.901101,138.048300,67.389000,4.216000
legacy,ours,1,42,0.443631,0.844865,0.460104,N/A,N/A,N/A,N/A,N/A,3.000000,0.460104,0.655581,0.443631,0.844865,154.389500,61.928000,3.873000
legacy,ours,2,42,0.411011,0.711130,0.403166,N/A,N/A,N/A,N/A,N/A,3.000000,0.403166,0.672399,0.411011,0.711130,158.875900,60.450000,3.783000
